outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction,,,,,,,,,
case,21-May,202118,all_ages_adj,Pfizer,3775,32223131,140983,94287113.55,11.71518683,149.5252052,12.76336497,11.33286665,151.1793534,13.33990402,0,,,,,,,,,
case,21-May,202118,all_ages_adj,all_types,7248,64337714,140983,94287113.55,11.26555414,149.5252052,13.27277854,11.5308971,151.1793534,13.11080587,0,,,,,,,,,
case,21-May,202119, 12-17,all_types,19,396137,14415,15331893,4.796320465,94.01970129,19.60246443,,,,0,,,,,,,,,
case,21-May,202119,18-29,all_types,715,7303038,30107,23634068,9.790446113,127.3881416,13.01147467,,,,0,,,,,,,,,
case,21-May,202119,30-49,all_types,1790,18043628,41590,29487273,9.9203996,141.0439005,14.21756242,,,,0,,,,,,,,,
case,21-May,202119,50-64,all_types,1717,19910489,20085,15594625,8.623595332,128.7943763,14.93511364,,,,0,,,,,,,,,
case,21-May,202119,65-79,all_types,1524,19673155,7271,5291137,7.746596822,137.4184792,17.73920631,,,,0,,,,,,,,,
case,21-May,202119,80+,all_types,678,5979795,1961,1937905.55,11.33818133,101.1917222,8.924863632,,,,1,,,,,,,,,
case,21-May,202119,all_ages_adj,Janssen,1247,5656931,115429,91276901.55,22.04375482,126.4602523,5.736783653,19.93674848,129.2914943,6.485084287,0,,,,,,,,,
case,21-May,202119,all_ages_adj,Moderna,1753,29292505,115429,91276901.55,5.984465992,126.4602523,21.13141799,5.632343432,129.2914943,22.95518657,0,,,,,,,,,
case,21-May,202119,all_ages_adj,Pfizer,3427,36290936,115429,91276901.55,9.443129271,126.4602523,13.39177392,8.888738587,129.2914943,14.54553906,0,,,,,,,,,
case,21-May,202119,all_ages_adj,all_types,6443,71306242,115429,91276901.55,9.035674605,126.4602523,13.99566251,8.941388738,129.2914943,14.45988963,0,,,,,,,,,
case,21-May,202120, 12-17,all_types,25,657856,10434,14136575,3.800223757,73.80854273,19.42215708,,,,0,,,,,,,,,
case,21-May,202120,18-29,all_types,667,8896235,22363,22894381,7.49755374,97.67898944,13.02811461,,,,0,,,,,,,,,
case,21-May,202120,30-49,all_types,1803,20691773,31280,28383971,8.713608061,110.2030438,12.64723442,,,,0,,,,,,,,,
case,21-May,202120,50-64,all_types,1568,21734885,15010,14935935,7.214208863,100.4958846,13.93027101,,,,0,,,,,,,,,
case,21-May,202120,65-79,all_types,1336,20141683,5572,5075684.2,6.633010757,109.7783034,16.55029781,,,,1,,,,,,,,,
case,21-May,202120,80+,all_types,645,6076454,1404,1890699.55,10.6147434,74.25822892,6.995762979,,,,1,,,,,,,,,
case,21-May,202120,all_ages_adj,Janssen,1106,6004429,86063,87317245.75,18.4197365,98.56357614,5.350976446,16.76224762,100.7502423,6.010544919,0,,,,,,,,,
case,21-May,202120,all_ages_adj,Moderna,1721,31603239,86063,87317245.75,5.445644353,98.56357614,18.09952501,7.932217794,100.7502423,12.70139637,0,,,,,,,,,
case,21-May,202120,all_ages_adj,Pfizer,3209,40522360,86063,87317245.75,7.919084673,98.56357614,12.44633442,7.406994784,100.7502423,13.6020404,0,,,,,,,,,
case,21-May,202120,all_ages_adj,all_types,6044,78198886,86063,87317245.75,7.72901036,98.56357614,12.75241869,7.53972792,100.7502423,13.36258328,0,,,,,,,,,
case,21-May,202121, 12-17,all_types,28,909892,6738,13459173,3.077288294,50.06251127,16.26838518,,,,0,,,,,,,,,
case,21-May,202121,18-29,all_types,610,10332099,16364,22275537,5.903931041,73.46175313,12.4428542,,,,0,,,,,,,,,
case,21-May,202121,30-49,all_types,1491,22909496,23435,27499002,6.508218252,85.22127458,13.09440945,,,,0,,,,,,,,,
case,21-May,202121,50-64,all_types,1349,23089959,11301,14423707,5.842366372,78.35017725,13.41069222,,,,0,,,,,,,,,
case,21-May,202121,65-79,all_types,1107,20519353,4350,4906635.2,5.394906945,88.65545986,16.43317684,,,,1,,,,,,,,,
case,21-May,202121,80+,all_types,544,6157642,1091,1853157.55,8.834550628,58.87249036,6.663891899,,,,1,,,,,,,,,
case,21-May,202121,all_ages_adj,Janssen,940,6346339,63279,84417211.75,14.81168907,74.95983187,5.06085643,13.47771515,77.37794144,5.741176497,0,,,,,,,,,
case,21-May,202121,all_ages_adj,Moderna,1396,33796472,63279,84417211.75,4.130608662,74.95983187,18.14740587,4.917706374,77.37794144,15.73455907,0,,,,,,,,,
case,21-May,202121,all_ages_adj,Pfizer,2785,43705437,63279,84417211.75,6.372204904,74.95983187,11.76356269,5.943901164,77.37794144,13.01803972,0,,,,,,,,,
case,21-May,202121,all_ages_adj,all_types,5129,83918441,63279,84417211.75,6.111886659,74.95983187,12.26459783,5.883229673,77.37794144,13.15228977,0,,,,,,,,,
case,21-Jun,202122, 12-17,all_types,38,1148111,4962,13032087,3.309784507,38.07525226,11.5038463,,,,0,,,,,,,,,
case,21-Jun,202122,18-29,all_types,570,11450183,12902,21848173,4.978086376,59.05299267,11.862589,,,,0,,,,,,,,,
case,21-Jun,202122,30-49,all_types,1450,24672113,18796,26871654,5.877080735,69.94731325,11.90171046,,,,0,,,,,,,,,
case,21-Jun,202122,50-64,all_types,1242,24169617,8882,14064609,5.138683,63.15141786,12.28941693,,,,0,,,,,,,,,
case,21-Jun,202122,65-79,all_types,1022,20838176,3434,4789844.2,4.904459968,71.69335487,14.61799165,,,,1,,,,,,,,,
case,21-Jun,202122,80+,all_types,474,6228283,866,1827713.55,7.610444163,47.38160419,6.225865821,,,,1,,,,,,,,,
case,21-Jun,202122,all_ages_adj,Janssen,815,6698590,49842,82434080.75,12.16673957,60.46285656,4.969520078,13.2915836,62.5888338,4.708907207,0,,,,,,,,,
case,21-Jun,202122,all_ages_adj,Moderna,1383,35662308,49842,82434080.75,3.878044012,60.46285656,15.59107023,3.549754998,62.5888338,17.63187427,0,,,,,,,,,
case,21-Jun,202122,all_ages_adj,Pfizer,2594,46074229,49842,82434080.75,5.630045377,60.46285656,10.73931958,5.338196492,62.5888338,11.72471525,0,,,,,,,,,
case,21-Jun,202122,all_ages_adj,all_types,4796,88506483,49842,82434080.75,5.418812089,60.46285656,11.1579541,5.263568251,62.5888338,11.89095131,0,,,,,,,,,
case,21-Jun,202123, 12-17,all_types,40,1344675,4209,12655586,2.974696488,33.25804115,11.18031412,,,,0,,,,,,,,,
case,21-Jun,202123,18-29,all_types,669,12237696,11920,21459966,5.466715303,55.54528838,10.16063309,,,,0,,,,,,,,,
case,21-Jun,202123,30-49,all_types,1484,25911104,16888,26301875,5.727274299,64.20835017,11.2109787,,,,0,,,,,,,,,
case,21-Jun,202123,50-64,all_types,1399,24954246,7978,13747613,5.606260353,58.03189252,10.35126606,,,,0,,,,,,,,,
case,21-Jun,202123,65-79,all_types,1035,21085954,3072,4684749.6,4.908480783,65.57447596,13.359424,,,,1,,,,,,,,,
case,21-Jun,202123,80+,all_types,472,6284537,765,1803520.55,7.510497591,42.41703817,5.647700122,,,,1,,,,,,,,,
case,21-Jun,202123,all_ages_adj,Janssen,859,7024556,44832,80653310.15,12.22853089,55.58606326,4.545604356,13.22041414,57.47764386,4.347643217,0,,,,,,,,,
case,21-Jun,202123,all_ages_adj,Moderna,1422,37074996,44832,80653310.15,3.835469058,55.58606326,14.49263764,3.482406334,57.47764386,16.50515143,0,,,,,,,,,
case,21-Jun,202123,all_ages_adj,Pfizer,2805,47646324,44832,80653310.15,5.88712783,55.58606326,9.441966417,5.515545978,57.47764386,10.42102524,0,,,,,,,,,
case,21-Jun,202123,all_ages_adj,all_types,5099,91818212,44832,80653310.15,5.553364511,55.58606326,10.00943899,5.349035247,57.47764386,10.74542253,0,,,,,,,,,
case,21-Jun,202124, 12-17,all_types,48,1739960,4040,12363033,2.758684108,32.67806533,11.84552636,,,,0,,,,,,,,,
case,21-Jun,202124,18-29,all_types,714,12785206,11617,21118269,5.584579552,55.00924342,9.850203207,,,,0,,,,,,,,,
case,21-Jun,202124,30-49,all_types,1705,26751163,16082,25808366,6.373554675,62.31312746,9.776824807,,,,0,,,,,,,,,
case,21-Jun,202124,50-64,all_types,1424,25480744,7592,13478231,5.588533836,56.32786677,10.07918506,,,,0,,,,,,,,,
case,21-Jun,202124,65-79,all_types,1136,21261444,2785,4596760.6,5.343004925,60.58614408,11.33933899,,,,1,,,,,,,,,
case,21-Jun,202124,80+,all_types,496,6324263,697,1782879.55,7.842811091,39.09405994,4.984699936,,,,1,,,,,,,,,
case,21-Jun,202124,all_ages_adj,Janssen,890,7262791,42813,79147539.15,12.25424221,54.09264831,4.414197745,11.30020926,55.6114682,4.921277732,0,,,,,,,,,
case,21-Jun,202124,all_ages_adj,Moderna,1504,38010673,42813,79147539.15,3.956783401,54.09264831,13.67086414,3.583158087,55.6114682,15.52023853,0,,,,,,,,,
case,21-Jun,202124,all_ages_adj,Pfizer,3121,48995898,42813,79147539.15,6.369921008,54.09264831,8.491886829,6.011793721,55.6114682,9.25039527,0,,,,,,,,,
case,21-Jun,202124,all_ages_adj,all_types,5523,94342780,42813,79147539.15,5.854184072,54.09264831,9.239997862,5.646967298,55.6114682,9.848023774,0,,,,,,,,,
case,21-Jun,202125, 12-17,all_types,96,2821220,4681,12038337,3.402783193,38.88410833,11.42714834,,,,0,,,,,,,,,
case,21-Jun,202125,18-29,all_types,1017,13331024,13120,20807752,7.628821312,63.05342355,8.265159318,,,,0,,,,,,,,,
case,21-Jun,202125,30-49,all_types,2436,27555628,17890,25363562,8.840299339,70.53425698,7.978718171,,,,0,,,,,,,,,
case,21-Jun,202125,50-64,all_types,1833,25956726,8080,13228968,7.061753474,61.07808258,8.649138321,,,,0,,,,,,,,,
case,21-Jun,202125,65-79,all_types,1432,21420149,3010,4514540.6,6.685294299,66.67345067,9.973151171,,,,1,,,,,,,,,
case,21-Jun,202125,80+,all_types,524,6360201,744,1763919.55,8.238733336,42.17879438,5.119572713,,,,1,,,,,,,,,
case,21-Jun,202125,all_ages_adj,Janssen,1081,7499678,47525,77717079.15,14.41395217,61.15129457,4.242507109,13.14451392,62.51421812,4.75591707,0,,,,,,,,,
case,21-Jun,202125,all_ages_adj,Moderna,1994,38740533,47525,77717079.15,5.147063929,61.15129457,11.88081116,4.836765707,62.51421812,12.92479767,0,,,,,,,,,
case,21-Jun,202125,all_ages_adj,Pfizer,4257,51130539,47525,77717079.15,8.325748336,61.15129457,7.34484062,8.161963093,62.51421812,7.659213526,0,,,,,,,,,
case,21-Jun,202125,all_ages_adj,all_types,7338,97444948,47525,77717079.15,7.530405784,61.15129457,8.120584245,7.453210647,62.51421812,8.387555523,0,,,,,,,,,
case,21-Jun,202126, 12-17,all_types,152,3535919,6679,11751234,4.298741006,56.83658414,13.22168143,,,,0,,,,,,,,,
case,21-Jun,202126,18-29,all_types,1758,13855885,17523,20512990,12.68774965,85.42391919,6.732787261,,,,0,,,,,,,,,
case,21-Jun,202126,30-49,all_types,4012,28312987,23994,24944848,14.17017569,96.18819886,6.788073838,,,,0,,,,,,,,,
case,21-Jun,202126,50-64,all_types,2704,26389234,9918,12999877,10.24660284,76.29302954,7.445690123,,,,0,,,,,,,,,
case,21-Jun,202126,65-79,all_types,1860,21562037,3683,4439614.6,8.626272184,82.95765132,9.616859932,,,,1,,,,,,,,,
case,21-Jun,202126,80+,all_types,704,6391622,886,1747192.55,11.01441856,50.70992319,4.603958248,,,,1,,,,,,,,,
case,21-Jun,202126,all_ages_adj,Janssen,1720,7721820,62683,76395756.15,22.27454149,82.05036923,3.683594082,22.17057014,83.10169779,3.748288712,0,,,,,,,,,
case,21-Jun,202126,all_ages_adj,Moderna,2932,39421767,62683,76395756.15,7.437515421,82.05036923,11.03195954,7.366079476,83.10169779,11.28167271,0,,,,,,,,,
case,21-Jun,202126,all_ages_adj,Pfizer,6520,52829225,62683,76395756.15,12.3416537,82.05036923,6.648247573,12.43895672,83.10169779,6.68076107,0,,,,,,,,,
case,21-Jun,202126,all_ages_adj,all_types,11190,100047684,62683,76395756.15,11.1846667,82.05036923,7.335969091,11.39846877,83.10169779,7.290601874,0,,,,,,,,,
case,21-Jul,202127, 12-17,all_types,223,3934333,9262,11538992,5.668050976,80.26697653,14.1613011,,,,0,,,,,,,,,
case,21-Jul,202127,18-29,all_types,3345,14233819,28127,20269632,23.50036909,138.7642361,5.904768371,,,,0,,,,,,,,,
case,21-Jul,202127,30-49,all_types,6818,28854750,36278,24600497,23.62869198,147.4685654,6.241080356,,,,0,,,,,,,,,
case,21-Jul,202127,50-64,all_types,4534,26702936,14780,12809497,16.97940631,115.3831411,6.795475591,,,,0,,,,,,,,,
case,21-Jul,202127,65-79,all_types,3065,21667220,5293,4376190.6,14.14579258,120.9499422,8.550241455,,,,1,,,,,,,,,
case,21-Jul,202127,80+,all_types,991,6414779,1175,1732887.55,15.44870057,67.80590004,4.389100542,,,,1,,,,,,,,,
case,21-Jul,202127,all_ages_adj,Janssen,2716,7903352,94915,75327696.15,34.36516557,126.0027916,3.666584739,31.30863081,126.8126099,4.050404206,0,,,,,,,,,
case,21-Jul,202127,all_ages_adj,Moderna,4794,39918850,94915,75327696.15,12.009364,126.0027916,10.49204534,12.00387162,126.8126099,10.56430907,0,,,,,,,,,
case,21-Jul,202127,all_ages_adj,Pfizer,11418,53910324,94915,75327696.15,21.17961673,126.0027916,5.94924796,21.65887742,126.8126099,5.854994581,0,,,,,,,,,
case,21-Jul,202127,all_ages_adj,all_types,18976,101807837,94915,75327696.15,18.6390366,126.0027916,6.760155812,19.14066933,126.8126099,6.62529652,0,,,,,,,,,
case,21-Jul,202128, 12-17,all_types,485,4259107,14978,11290507,11.3873636,132.6601188,11.64976579,,,,0,,,,,,,,,
case,21-Jul,202128,18-29,all_types,5978,14535559,45926,20006478,41.12672929,229.5556469,5.581665523,,,,0,,,,,,,,,
case,21-Jul,202128,30-49,all_types,12795,29285503,58392,24235006,43.69055911,240.9407285,5.514709204,,,,0,,,,,,,,,
case,21-Jul,202128,50-64,all_types,8410,26947081,23454,12607593,31.20931725,186.0307515,5.960744029,,,,0,,,,,,,,,
case,21-Jul,202128,65-79,all_types,5526,21749005,7921,4309033.6,25.4080589,183.8231199,7.234835239,,,,1,,,,,,,,,
case,21-Jul,202128,80+,all_types,1826,6433280,1763,1717614.55,28.38365499,102.6423536,3.616248634,,,,1,,,,,,,,,
case,21-Jul,202128,all_ages_adj,Janssen,4797,8049588,152434,74166232.15,59.5931121,205.5301929,3.448891754,57.75276452,205.5707683,3.559496589,0,,,,,,,,,
case,21-Jul,202128,all_ages_adj,Moderna,9239,40263285,152434,74166232.15,22.94646351,205.5301929,8.956944185,23.61374083,205.5707683,8.705557064,0,,,,,,,,,
case,21-Jul,202128,all_ages_adj,Pfizer,20870,54820899,152434,74166232.15,38.06942312,205.5301929,5.39882604,39.0369927,205.5707683,5.26605033,0,,,,,,,,,
case,21-Jul,202128,all_ages_adj,all_types,35020,103209535,152434,74166232.15,33.93097353,205.5301929,6.057303152,34.91121271,205.5707683,5.888388066,0,,,,,,,,,
case,21-Jul,202129, 12-17,all_types,898,4507708,24958,11005265,19.92143236,226.7823628,11.38383821,,,,0,,,,,,,,,
case,21-Jul,202129,18-29,all_types,10375,14790215,72312,19715284,70.14772943,366.781427,5.228699917,,,,0,,,,,,,,,
case,21-Jul,202129,30-49,all_types,22002,29642272,95125,23804885,74.22507964,399.6028546,5.383663535,,,,0,,,,,,,,,
case,21-Jul,202129,50-64,all_types,15269,27146976,38194,12355749,56.24567539,309.119261,5.495876062,,,,0,,,,,,,,,
case,21-Jul,202129,65-79,all_types,10082,21818813,12968,4225234.6,46.20782991,306.9178691,6.642118223,,,,1,,,,,,,,,
case,21-Jul,202129,80+,all_types,3267,6448733,2855,1699561.55,50.66111436,167.9845017,3.315846952,,,,1,,,,,,,,,
case,21-Jul,202129,all_ages_adj,Janssen,7936,8181014,246412,72805979.15,97.00509008,338.4502247,3.488994489,91.12242372,339.1936921,3.722395413,0,,,,,,,,,
case,21-Jul,202129,all_ages_adj,Moderna,16603,40540102,246412,72805979.15,40.95450969,338.4502247,8.264052659,43.68300335,339.1936921,7.764889455,0,,,,,,,,,
case,21-Jul,202129,all_ages_adj,Pfizer,37155,55557342,246412,72805979.15,66.87684951,338.4502247,5.060797976,68.20963241,339.1936921,4.972812199,0,,,,,,,,,
case,21-Jul,202129,all_ages_adj,all_types,61893,104354717,246412,72805979.15,59.31020828,338.4502247,5.706441344,60.44748801,339.1936921,5.611377797,0,,,,,,,,,
case,21-Jul,202130, 12-17,all_types,1535,4746235,36947,10659433,32.34142431,346.6131829,10.71731349,,,,0,,,,,,,,,
case,21-Jul,202130,18-29,all_types,16096,15053374,105837,19328426,106.9261948,547.5717474,5.12102529,,,,0,,,,,,,,,
case,21-Jul,202130,30-49,all_types,32795,30002889,136984,23214640,109.3061405,590.0759176,5.39837849,,,,0,,,,,,,,,
case,21-Jul,202130,50-64,all_types,23169,27346956,55702,12018424,84.72240932,463.4717497,5.470474145,,,,0,,,,,,,,,
case,21-Jul,202130,65-79,all_types,16113,21889195,19203,4115832.6,73.61166091,466.5641649,6.338182825,,,,1,,,,,,,,,
case,21-Jul,202130,80+,all_types,5037,6464687,4448,1677618.55,77.9156052,265.1377454,3.402883732,,,,1,,,,,,,,,
case,21-Jul,202130,all_ages_adj,Janssen,11580,8316602,359121,71014374.15,139.2395596,505.7018446,3.631883396,125.7700066,506.6999601,4.028782171,0,,,,,,,,,
case,21-Jul,202130,all_ages_adj,Moderna,26210,40811594,359121,71014374.15,64.22194634,505.7018446,7.874284001,64.21507982,506.6999601,7.890669319,0,,,,,,,,,
case,21-Jul,202130,all_ages_adj,Pfizer,56676,56298597,359121,71014374.15,100.6703595,505.7018446,5.023343982,102.6099656,506.6999601,4.938116459,0,,,,,,,,,
case,21-Jul,202130,all_ages_adj,all_types,94745,105503336,359121,71014374.15,89.80284756,505.7018446,5.631245092,91.13069696,506.6999601,5.56014578,0,,,,,,,,,
case,21-Aug,202131, 12-17,all_types,2286,4963994,45496,10256775,46.05162698,443.5702255,9.632020727,,,,0,,,,,,,,,
case,21-Aug,202131,18-29,all_types,19725,15294610,123103,18890325,128.9670021,651.6722185,5.053015173,,,,0,,,,,,,,,
case,21-Aug,202131,30-49,all_types,41813,30337442,163461,22542795,137.8263863,725.1141662,5.261069275,,,,0,,,,,,,,,
case,21-Aug,202131,50-64,all_types,30861,27539179,69517,11648550,112.0621642,596.7867245,5.325497045,,,,0,,,,,,,,,
case,21-Aug,202131,65-79,all_types,21544,21956444,24636,4000249.75,98.12153553,615.8615471,6.276517625,,,,1,,,,,,,,,
case,21-Aug,202131,80+,all_types,6758,6479853,5567,1653825.55,104.2924894,336.6134959,3.227590961,,,,1,,,,,,,,,
case,21-Aug,202131,all_ages_adj,Janssen,14499,8435459,431780,68992520.3,171.8815775,625.8359575,3.641088047,156.9796538,630.5328889,4.016653583,0,,,,,,,,,
case,21-Aug,202131,all_ages_adj,Moderna,34595,41054605,431780,68992520.3,84.26582109,625.8359575,7.426925286,86.48335488,630.5328889,7.290800522,0,,,,,,,,,
case,21-Aug,202131,all_ages_adj,Pfizer,73400,57004613,431780,68992520.3,128.7615092,625.8359575,4.860427324,130.2845715,630.5328889,4.839658924,0,,,,,,,,,
case,21-Aug,202131,all_ages_adj,all_types,122987,106571522,431780,68992520.3,115.40325,625.8359575,5.423035809,116.1100134,630.5328889,5.430478135,0,,,,,,,,,
case,21-Aug,202132, 12-17,all_types,2832,5156461,57141,9851077,54.92138891,580.0482526,10.56142723,,,,0,,,,,,,,,
case,21-Aug,202132,18-29,all_types,20234,15523125,129344,18439030,130.3474655,701.4685697,5.381528264,,,,0,,,,,,,,,
case,21-Aug,202132,30-49,all_types,46544,30656272,177409,21848280,151.8253752,812.0044232,5.348278718,,,,0,,,,,,,,,
case,21-Aug,202132,50-64,all_types,35125,27724925,77800,11286928,126.6910551,689.2929591,5.440738959,,,,0,,,,,,,,,
case,21-Aug,202132,65-79,all_types,24695,22021316,28298,3889037.75,112.1413452,727.6350043,6.488552485,,,,1,,,,,,,,,
case,21-Aug,202132,80+,all_types,7919,6493845,6578,1630498.55,121.9462429,403.4348881,3.308301087,,,,1,,,,,,,,,
case,21-Aug,202132,all_ages_adj,Janssen,15793,8567949,476570,66944851.3,184.326494,711.8844702,3.862084363,167.8274222,718.4032546,4.280607098,0,,,,,,,,,
